2024-04-06 19:13:36.597Z | Internal            | Logger         | Started logging.
2024-04-06 19:13:36.598Z | Internal            | Logger         | Game version: 13.4.2.
2024-04-06 19:13:36.598Z | Internal            | Logger         | Build type: Release.
2024-04-06 19:13:36.598Z | Internal            | Logger         | Build timestamp: 2024-02-02 22:31:40Z.
2024-04-06 19:13:36.598Z | Internal            | Logger         | Headless: True.
2024-04-06 19:13:38.830Z | Connection update   | Networking     | 76561198942935069@steam preauthenticated from endpoint 178.121.41.118:37638.
2024-04-06 19:14:00.224Z | Connection update   | Networking     | 76561198942935069@steam authenticated from endpoint 178.121.41.118:37638. Player ID assigned: 2. Auth token serial number: 8ssli8vb-Qigr01ql.
2024-04-06 19:14:00.228Z | Connection update   | Networking     | Nickname of 76561198942935069@steam is now Inn.
2024-04-06 19:14:00.238Z | Connection update   | Permissions    | Inn (76561198942935069@steam) has been assigned to group Зам. Хозяина.
2024-04-06 19:14:04.590Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:14:14.907Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) enabled lobby lock.
2024-04-06 19:14:15.357Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) enabled round lock.
2024-04-06 19:14:16.075Z | Game Event          | Logger         | Round has been started.
2024-04-06 19:14:16.075Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) forced round start.
2024-04-06 19:14:20.279Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:14:52.122Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:15:18.856Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:15:27.678Z | Suicide             | Class change   | Inn (76561198942935069@steam), playing as Tutorial, has commited suicide. Specific death reason: Explosion. caused by Inn.
2024-04-06 19:15:33.052Z | Remote Admin        | Class change   | Inn (76561198942935069@steam) changed role of player Inn (76561198942935069@steam) to Tutorial.
2024-04-06 19:15:35.419Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) enabled god mode for player Inn (76561198942935069@steam).
2024-04-06 19:16:00.502Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:16:39.303Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:16:56.620Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:17:03.744Z | Connection update   | Networking     | 292999973513986049@discord preauthenticated from endpoint 78.158.200.98:11164.
2024-04-06 19:17:11.254Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:17:16.185Z | Connection update   | Networking     | 292999973513986049@discord authenticated from endpoint 78.158.200.98:11164. Player ID assigned: 3. Auth token serial number: 8LJNgEsv-QMC6eM/g.
2024-04-06 19:17:16.187Z | Connection update   | Networking     | Nickname of 292999973513986049@discord is now asrielpaluchaetsa#0.
2024-04-06 19:17:16.187Z | Connection update   | Permissions    | asrielpaluchaetsa#0 (292999973513986049@discord) has been assigned to group Твой Хозяин.
2024-04-06 19:17:19.513Z | Remote Admin        | Class change   | asrielpaluchaetsa#0 (292999973513986049@discord) changed role of player asrielpaluchaetsa#0 (292999973513986049@discord) to Tutorial.
2024-04-06 19:17:24.462Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:17:43.730Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) gave Coin to Inn (76561198942935069@steam).
2024-04-06 19:17:57.265Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) enabled noclip for player asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:17:57.696Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) enabled god mode for player asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:17:58.181Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) enabled bypass mode for player asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:18:03.047Z | Remote Admin        | Administrative | Inn (76561198942935069@steam) enabled noclip for player Inn (76561198942935069@steam).
2024-04-06 19:18:04.748Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) teleported player asrielpaluchaetsa#0 (292999973513986049@discord) to door 049_ARMORY.
2024-04-06 19:18:07.663Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) gave Coin to asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:18:07.797Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) gave Coin to asrielpaluchaetsa#0 (292999973513986049@discord).
2024-04-06 19:18:07.914Z | Remote Admin        | Administrative | asrielpaluchaetsa#0 (292999973513986049@discord) gave Coin to asrielpaluchaetsa#0 (292999973513986049@discord).
